uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Administração,Bacharelado,Curso a Distância,298.00,,,,1,,,584.54,
SP,Sao Jose dos Campos,Escola Superior de Administração de Empresas - INEA,CENTRO - Centro,Administração,Bacharelado,Matutino,589.00,1,3,,,563.18,552.00,,
SP,Sao Jose dos Campos,Faculdade de Tecnologia de São José dos Campos - ETEP,ETEP ESPLANADA - Jardim Esplanada,Administração,Bacharelado,Matutino,599.00,2,3,,,598.48,575.22,,
SP,Sao Jose dos Campos,Faculdade de Tecnologia de São José dos Campos - ETEP,ETEP ESPLANADA - Jardim Esplanada,Administração,Bacharelado,Noturno,599.00,1,2,,,614.44,643.26,,
SP,Sao Jose dos Campos,Faculdade Educacional da Lapa - FAEL,SP - SÃO JOSÉ DOS CAMPOS - POLO EAD - Vila Igualdade,Administração,Bacharelado,Curso a Distância,325.00,,,,1,,,588.28,
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,Administração,Bacharelado,Curso a Distância,290.42,,,1,2,,,538.80,535.92
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Administração,Bacharelado,Noturno,1042.50,2,3,,2,612.38,557.08,598.12,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS II - Jardim Serimbura,Administração,Bacharelado,Curso a Distância,309.00,0,1,,,567.80,,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Administração,Bacharelado,Matutino,755.52,1,3,,,601.22,622.44,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Administração,Bacharelado,Curso a Distância,309.00,1,2,,,570.84,560.68,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,274.00,,,,1,,,643.04,
SP,Sao Jose dos Campos,Faculdade de Tecnologia de São José dos Campos - ETEP,ETEP ESPLANADA - Jardim Esplanada,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,519.00,2,3,,,586.04,526.14,,
SP,Sao Jose dos Campos,Faculdade de Tecnologia de São José dos Campos - ETEP,ETEP ESPLANADA - Jardim Esplanada,Análise e Desenvolvimento de Sistemas,Tecnológico,Matutino,399.00,1,1,,,630.08,610.04,,
SP,Sao Jose dos Campos,Faculdade de Tecnologia Ibta - São José dos Campos - IBTA,CENTRO - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,569.00,2,4,,,568.50,511.22,,
SP,Sao Jose dos Campos,Faculdade de Tecnologia Ibta - São José dos Campos - IBTA,CENTRO - Centro,Análise e Desenvolvimento de Sistemas,Tecnológico,Matutino,469.00,1,1,,,542.00,579.22,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS II - Jardim Serimbura,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,309.00,1,1,,,550.72,450.00,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Análise e Desenvolvimento de Sistemas,Tecnológico,Noturno,594.24,2,5,,,590.20,559.94,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Análise e Desenvolvimento de Sistemas,Tecnológico,Curso a Distância,309.00,0,1,,,581.34,,,
SP,Sao Jose dos Campos,Faculdade Anhangüera de São José,UNIDADE SEDE - Bairro Comprido,Arquitetura e Urbanismo,Bacharelado,Noturno,1098.00,2,5,,,608.68,572.60,,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Arquitetura e Urbanismo,Bacharelado,Matutino,1498.00,1,2,,2,662.24,618.26,647.78,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Arquitetura e Urbanismo,Bacharelado,Noturno,1498.00,1,3,,4,652.04,633.02,613.02,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Arquitetura e Urbanismo,Bacharelado,Noturno,1242.60,1,2,,,642.88,614.22,,
